0	0	10000	60000	120000
1	5795	15795	65795	125795
2	12150	22150	72150	132150
3	19118	29118	79118	139118
4	26760	36760	86760	146760
5	35140	45140	95140	155140
6	44328	54328	104328	164328
7	54405	64405	114405	174405
8	65455	75455	125455	185455
9	77572	87572	137572	197572
10	90859	100859	150859	210859
11	105429	115429	165429	225429
12	121407	131407	181407	241407
13	138928	148928	198928	258928
14	158142	168142	218142	278142
15	179211	189211	239211	299211
16	202315	212315	262315	322315
17	227650	237650	287650	347650
18	255432	265432	315432	375432
19	285898	295898	345898	405898
20	319306	329306	379306	439306
21	355941	365941	415941	475941
22	396115	406115	456115	516115
23	440168	450168	500168	560168
24	488477	498477	548477	608477
25	541451	551451	601451	661451
26	599541	609541	659541	719541
27	663242	673242	723242	783242
28	733096	743096	793096	853096
29	809697	819697	869697	929697
30	893696	903696	953696	1013696
31	985807	995807	1045807	1105807
32	1086816	1096816	1146816	1206816
33	1197580	1207580	1257580	1317580
34	1319042	1329042	1379042	1439042
35	1452236	1462236	1512236	1572236
36	1598294	1608294	1658294	1718294
37	1758459	1768459	1818459	1878459
38	1934093	1944093	1994093	2054093
39	2126691	2136691	2186691	2246691
40	2337890	2347890	2397890	2457890
41	2569488	2579488	2629488	2689488
42	2823455	2833455	2883455	2943455
43	3101951	3111951	3161951	3221951
44	3407345	3417345	3467345	3527345
45	3742236	3752236	3802236	3862236
46	4109471	4119471	4169471	4229471
47	4512176	4522176	4572176	4632176
48	4953776	4963776	5013776	5073776
49	5438027	5448027	5498027	5558027
50	5969049	5979049	6029049	6089049
51	6551359	6561359	6611359	6671359
52	7189912	7199912	7249912	7309912
53	7890138	7900138	7950138	8010138
54	8657995	8667995	8717995	8777995
55	9500015	9510015	9560015	9620015
56	10423360	10433360	10483360	10543360
57	11435887	11445887	11495887	11555887
58	12546207	12556207	12606207	12666207
59	13763766	13773766	13823766	13883766
60	15098922	15108922	15158922	15218922
61	16563033	16573033	16623033	16683033
62	18168554	18178554	18228554	18288554
63	19929143	19939143	19989143	20049143
64	21859777	21869777	21919777	21979777
65	23976879	23986879	24036879	24096879
66	26298460	26308460	26358460	26418460
67	28844269	28854269	28904269	28964269
68	31635962	31645962	31695962	31755962
69	34697288	34707288	34757288	34817288
70	38054290	38064290	38114290	38174290
71	41735525	41745525	41795525	41855525
72	45772309	45782309	45832309	45892309
73	50198982	50208982	50258982	50318982
74	55053202	55063202	55113202	55173202
75	60376262	60386262	60436262	60496262
76	66213445	66223445	66273445	66333445
77	72614407	72624407	72674407	72734407
78	79633600	79643600	79693600	79753600
79	87330736	87340736	87390736	87450736
80	95771293	95781293	95831293	95891293
